"ID","Entry","Line","Acc","Race","Stock","Geo.class","Elevation.class","Group","Lat","Lon","Elevation","Block","ABS_X","ABS_Y","P_code","P_level","Seed_wt_12k","Mites","Stem","Height","Leaf.Area","Spad","Leaf_FW","Root_FW"
"MZ65079",12,"C_2","","","PT","C","N","C",NA,NA,NA,1,143,753,"P1",1,2.14,1,0.4,22,288.3,29.2,14.14,8.19
"MZ65080",106,"SA_29.Low","ARZM07041","PERLIT","CIMMYTMA-026714","S","L","S.L",-23.78,-61.48,175,1,152,753,"P1",1,2.82,1,0.4,12.5,223.6,19.6,7.81,14
"MZ65081",38,"Mex_18.Low","NAYA222","BOFO","CIMMYTMA-007076","M","L","M.L",21.71666667,-104.8833333,177,1,162,753,"P1",1,5.32,1,0.8,14,455.7,27.9,14.04,24.36
"MZ65082",7,"C_2","","","PT","C","N","C",NA,NA,NA,1,171,753,"P1",1,1.99,0,0.5,19.5,253,27.4,9.6,6.4
"MZ65083",6,"C_1","","","B73","C","N","C",NA,NA,NA,1,181,753,"P1",1,2.29,0,1.4,9.5,196,28.6,5.49,4.76
"MZ65084",65,"Mex_6.Low","GUER127","","CIMMYTMA-016261","M","L","M.L",17.560971,-101.262247,52,1,190,753,"P1",1,3.7,1,0.6,10,289,24.3,10.58,13.6
"MZ65085",75,"SA_10.Low","CHZM01008","HARTAR","CIMMYTMA-014453","S","L","S.L",-19.010405,-69.865865,700,1,85,762,"P1",1,5.17,1,0.3,10,148.1,27,2.09,5.46
"MZ65086",17,"C_3","","","CML530","C","N","C",NA,NA,NA,1,95,762,"P1",1,3.51,0,0.6,12.5,228.5,23.1,7.8,7.7
"MZ65087",88,"SA_2.Low","PERU1101","PIRICI","CIMMYTMA-009022","S","L","S.L",-12.623998,-73.094775,751,1,104,762,"P1",1,3.77,1,0.5,15,366.6,27.7,10.28,10.24
"MZ65088",45,"Mex_21.High","GUAT434","OLOTON","CIMMYTMA-005266","M","H","M.H",15.28333333,-91.43333333,2071,1,114,762,"P1",1,5.35,0,0.6,20,554.7,22.8,18.27,28.3
"MZ65089",36,"Mex_17.Low","BELI9","","CIMMYTMA-017793","M","L","M.L",17.08333333,-89.13333333,97,1,123,762,"P1",1,2.88,0,0.4,12,204,28.1,17.65,21.81
"MZ65090",85,"SA_18.High","CUZ.196","","CIMMYTMA-012290","S","H","S.H",-13.52122,-73.720696,2813,1,133,762,"P1",1,4.35,1,0.5,22.5,360.3,26.7,15.37,21.64
"MZ65091",99,"SA_26.Low","ECUA652","","CIMMYTMA-017379","S","L","S.L",-1.066298,-80.44021,36,1,143,762,"P1",1,4.09,1,0.5,15.5,412.7,24.9,12.42,18.37
"MZ65092",121,"AN_19","MICH230","VANDEN","CIMMYTMA-013353","A","H","A",19.469084,-102.06122,1902,1,152,762,"P1",1,3.16,1,0.6,23,371.6,21.7,13.82,20.82
"MZ65093",87,"SA_2.High","HVCA.15","","CIMMYTMA-012291","S","H","S.H",-12.634544,-74.86529,3263,1,162,762,"P1",1,3.66,0,0.5,21.5,423.9,21.4,13,10.1
"MZ65094",110,"SA_31.High","ECUA12675","","CIMMYTMA-028370","S","H","S.H",-1.180281,-78.559788,2753,1,171,762,"P1",1,4.7,1,0.4,19,267.2,35.6,12.84,10
"MZ65095",102,"SA_27.High","CUZ.290","","CIMMYTMA-024902","S","H","S.H",-13.950973,-71.744682,3061,1,181,762,"P1",1,7.64,1,0.6,24.5,491.6,26.6,9.94,16.85
"MZ65096",49,"Mex_23.High","JALI637","CELAYA","CIMMYTMA-021332","M","H","M.H",20.81666667,-102.6666667,2017,1,190,762,"P1",1,5.46,1,0.5,17.5,210.4,25.8,7.56,7.65
"MZ65097",112,"SA_4.Low","BOZM0704","CUBAAM","CIMMYTMA-028912","S","L","S.L",-17.41666667,-60.66666667,324,1,85,772,"P1",1,3.8,0,0.5,11,359.8,25.4,9.94,17.91
"MZ65098",10,"C_2","","","PT","C","N","C",NA,NA,NA,1,95,772,"P1",1,2,0,0.4,22,220.1,29.1,8.42,7.78
"MZ65099",30,"Mex_13.Low","NAYA149","TUXPEN","CIMMYTMA-007026","M","L","M.L",21.2,-105.1666667,8,1,104,772,"P1",1,5.31,0,0.4,11.5,306.2,28.5,8.74,12.97
"MZ65100",104,"SA_28.Low","PIUR152","","CIMMYTMA-026035","S","L","S.L",-4.872712,-80.711375,49,1,114,772,"P1",1,2.98,0,0.6,16.5,344.7,24.9,11.61,11.62
"MZ65101",34,"Mex_16.Low","SONO169","ONAVEN","CIMMYTMA-007344","M","L","M.L",29.43544,-110.367266,390,1,123,772,"P1",1,3.81,0,0.6,15,330.1,24.5,13.32,14.48
"MZ65102",114,"SA_6.Low","UCAYAL9","","CIMMYTMA-014588","S","L","S.L",-9.028934,-75.513495,306,1,133,772,"P1",1,3.14,0,0.6,13.5,279.4,22.2,8.79,12
"MZ65103",139,"AN_11","MICH376","MUSHIT","CIMMYTMA-005618","A","H","A",19.28333333,-101.6333333,2293,1,143,772,"P1",1,3.73,1,0.4,22,323.1,22.4,12.2,17.06
"MZ65104",60,"Mex_3.High","MEX 48","CHALQU","CIMMYTMA-001398","M","H","M.H",19.698838,-99.099857,2247,1,152,772,"P1",1,8.6,1,0.6,24,455.5,27.7,19.62,18
"MZ65105",94,"SA_22.Low","PAS.18","","CIMMYTMA-026034","S","L","S.L",-10.33333333,-74.9,252,1,162,772,"P1",1,3.39,0,0.5,13,306,27.8,8.6,12.1
"MZ65106",113,"SA_6.High","ANC.526","","CIMMYTMA-012085","S","H","S.H",-9.385108,-77.240432,3524,1,171,772,"P1",1,3.53,1,0.4,16.5,225.4,29.8,7,8.5
"MZ65107",119,"SA_9.Low","LIM.76","","CIMMYTMA-016832","S","L","S.L",-12.73333333,-76.46666667,260,1,181,772,"P1",1,3.31,0,0.5,13,341.8,23.7,21.7,22.5
"MZ65108",24,"C_4","","","Mo17","C","N","C",NA,NA,NA,1,190,772,"P1",1,3.59,1,0.5,12.5,205.1,29.7,6.23,8.78
"MZ65109",96,"SA_23.High","BOYA371","SABANE","CIMMYTMA-022843","S","H","S.H",5.399671,-73.101212,2150,1,85,781,"P1",1,4.15,0,0.6,16.5,328.2,24,14.31,15.15
"MZ65110",125,"AN_13","MICH195","CHALQU","CIMMYTMA-001456","A","H","A",19.66666667,-101.9166667,2430,1,95,781,"P1",1,3.24,1,0.4,21.5,221.7,29.5,9.8,7.9
